tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript,loss_black,loss_white,blackscores,is_white_turn
283,Beijing Open,2362,Zhao Jing,1916,Yamakawa Takashi,26,22,f5f6e6f4e3c5c6d6e7f7c3c7g3e8b5a4g5b4f8c4d8d3b3f3d2h3e2g4f2d7c8g6a3b6h6h5a7a6a5c2d1g2h7h8h1g8g7b8h2e1f1b2b7g1a1a2h4a8c1b1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 0 1 5 0 0 0 0 0 0 0 0 2 0 1 5 1 6 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
 0 0 6 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, -3, -4, -4, -5, -10, -9, -8, -8, -8, -8, -8, -5, -5, -7, -7, -8, -13, -14, -20, -20, -20, -20, -20, -20, -20, -14, -14, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -12, -12, -12, -12, -12]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
283,Beijing Open,2910,Hu Ying Chong,3579,Yang Zailin,45,47,f5f6e6f4g5d6f3g6c7h5e3d3c4c6c3c8c5g3g4f2e2h4f1d1d2c1e1g1d7b6b5a5e7f8f7b3h3h2b2c2a6a7a4e8a8b4d8b8b7a1h7g7h8g8h6h1g2a3a2b1,"[ 0  0  0  0  0  0  2  0  2  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0
  0  0  0  1  0  1  2  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0
  0  0  6  0 12  0  4  0  0  0  0]","[0 0 0 0 0 2 0 0 0 5 0 0 0 2 0 9 0 0 1 0 0 2 0 2 1 2 1 0 0 0 0 5 0 0 0 8 0
 0 0 8 0 2 0 6 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0]","[0, 0, 0, 0, 0, 0, 2, 0, 0, -2, 3, 3, 3, 3, 5, 5, 14, 14, 13, 14, 13, 13, 15, 15, 17, 18, 20, 21, 20, 20, 19, 17, 22, 22, 22, 22, 30, 30, 30, 26, 34, 34, 36, 36, 42, 42, 42, 42, 42, 42, 42, 36, 42, 30, 30, 26, 26, 26, 26, 26]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
283,Beijing Open,3579,Yang Zailin,1916,Yamakawa Takashi,24,23,f5f6e6f4e3c5c6d3f3e2g5e7d7d6g6f7g3c8b4f2d8e8g4b6f1c7f8g8e1h6c2h5c4b3a4h4b7d2h3h2d1c3g2b5a7h1g1c1b2a2a1b1a3a6a5b8h7h8g7,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 3 0 0 1 0 1 3 2 4 2 1 0 0 1 2 0 0 2 0
 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 7, 3, 2, -1, -1, 0, -1, 0, -1, -4, -6, -10, -12, -13, -13, -13, -14, -16, -16, -16, -18, -18, -14, -14, -14, -14, -14, -14, -14, -14, -12, -16, -16, -16, -16, -16, -16, -16, -16, -16, -16, -16, -16]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
283,Beijing Open,2362,Zhao Jing,2910,Hu Ying Chong,42,27,f5f6e6f4e3c5c6d6e7f3b5d7d3c4c3e2e8c8f7d8b8b6c7d2d1c1b1a5a6a7b4g8f2f1g5c2g6b7g3h3b3h5h6h7e1a1a8b2a4g7g4h4g2g1a3f8h8a2h2h1,"[ 0  0  0  0  0  0  0  0  0  0  3  0  1  0  0  0  0  0  0  0  0  2  0  2
  1  0  0  0 10  2  0  0  0  0  0  0 12  0  0  0  8  0 12  0  0  0  0  0
  8  0  0  0  4  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  3  0
  0  1  2  0  0  0  1  2  0  0  0  0  0 28  0  4  0 14  0 14  0  0  0 10
  0  0  0  0  0  4  0  0  0  0  0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -4, -4, -4, -4, -4, -4, -3, -2, -2, -4, -1, -3, -4, -3, -1, -1, -11, -13, -12, -10, -10, -10, -10, -10, -22, 6, 6, 10, 2, 16, 4, 18, 18, 18, 18, 28, 20, 20, 20, 20, 16, 20, 20, 20, 20, 20, 20]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
283,Beijing Open,3120,Ji Zihui,1916,Yamakawa Takashi,11,23,f5d6c3d3c4f4c5b3c2e6b4f3e3e2f6d2a4b5g4g3a6a5e1f1g5d1c1b1f2h4e7e8c6g1h5a3a2h6g6h7h2f7d8c8g8d7b2f8b8a1g2h1b6c7g7h8a7b7a8h3,"[ 0  0  0  0  0  0  0  0  0  0  2  0  0  0  2  0  0  0  3  0  0  0  0  3
  4  1  0  0  0  0  0  0  4  0 10  0  0  0  0  0 10  0  4  0  0  0  4  0
  2  0  0  0  6  0  0  0  0  0  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -2, -2, -4, -4, -4, 0, -3, 0, 0, 1, 2, -1, -5, -6, -6, -6, -6, -4, -4, -4, -8, -8, -18, -18, -18, -18, -18, -18, -28, -28, -32, -32, -32, -32, -36, -36, -38, -38, -38, -38, -44, -44, -44, -42, -42, -42, -42]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1]"
283,Beijing Open,1916,Yamakawa Takashi,2910,Hu Ying Chong,33,30,f5f6e6f4g5g6e7h5e3d6c4f3g4h3g3f2h4d3c5f7d7h6f8c8d8b4e2b6c2c3d2d1e1f1b5a6a4a5a7c7c6b3g2c1g7g1h7h8g8b7b8h1h2e8a8a3a2a1b2b1,"[0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 2 1 0 2 0 1 0 0 0 1 0 1 0 3 4 0 6 0 2
 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0]","[ 0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1  0
  1  0  0  0  1  0  2  0  0  0  0 12  0  0  0  2  0  0  0  0  0  0  0 14
  0  0  0  0  0  0  0  0  0  0  0]","[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, -1, -1, -1, -1, 0, -1, -3, -4, -3, -5, -4, -5, -4, -4, -4, -5, -4, -5, -3, -6, -10, -10, -16, -4, -6, -6, -6, -4, -4, -4, -8, -8, -8, -8, -12, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
283,Beijing Open,2916,Jia Baolong,1916,Yamakawa Takashi,27,29,f5d6c3d3c4f4f6b4f3e6e3f2d2g5g6g4h4h5h6g3h3c1d1c2c5e1a4b3f1c6e2g1a3g2d7e7d8f7g8e8f8c7h1b2a2b5g7a5a6b6a7h8c8b8b1a1b7a8h7h2,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0 12  0  0  1  0  1  0  0  4  0  0  0  4  0  0  0  0  0  2  0  6  0
  4  0  2  0  0  0  0  0  0  0  0]","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 2 0 0 2 0 0 0 0 0 0
 0 0 6 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 8, -4, -2, -2, -3, -1, -2, -2, -2, -6, -6, -6, -6, -10, -4, -4, -4, -4, -4, -6, -2, -8, -8, -12, -8, -10, -10, -10, -10, -10, -10, -10, -10, -10]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
422,Blitz World Championship,2744,Juigner Arthur,1550,Seeley Ben,34,40,f5f6e6f4e3d7g4f3g6e2d6g5h5e7f7h3c3c7c6d3d8b5c8f8e8b8c5c4g7h4b6a6h2c2f2f1d2c1g2g3e1h1d1g1h6g8h8h7a8a7b7a5a4a3b4b2b1a1b3a2,"[ 0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  1  0  0  2  2  4  0  0  0  4  0 10  0  0  0  0  0  0  0  0  0
  2  0  0  4  0  0  0  0  0  0  0]","[0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 5 0 1 0 1 1 4 3 0 0 0 2 0 0 0 0 0 0 8 0
 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 7, 7, 8, 8, 9, 10, 14, 17, 15, 15, 14, 16, 16, 14, 12, 8, 8, 8, 16, 12, 18, 8, 8, 8, 8, 8, 8, 8, 10, 10, 10, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
422,Blitz World Championship,1550,Seeley Ben,2744,Juigner Arthur,45,37,f5d6c4d3c3f4f6f3e3b4g5g4b5e6g6e2c5c2d2g3f1b3c1e1d1c6f2a4a3a2a6g2h5h4e7f7f8e8d8g7c7a5a1b6a7c8d7b7h8h6h7b1b2g8b8a8g1h3h2h1,"[ 0  0  0  0  0  0  0  0  2  0  2  0  0  0  0  0  2  0  2  1  0  0  0  0
  0  1  2  2  0  0  0  1  0  0  4  0  0  0  0  0  4  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0 10  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  2  0  1  0  0  1  4  0  3
  1  0  0  0  1  3  2  0  0  4  0  4  0  4  0  2  0  0  0  0  0 14  0  0
  0  0  0 10  0  2  0  0  0  0  0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -4, -4, -4, -1, -1, 1, -1, 0, -2, -3, -2, 2, 2, 5, 6, 5, 3, 1, 2, 5, 7, 6, 6, 10, 6, 10, 10, 14, 14, 16, 12, 12, 12, 12, 10, 24, 24, 24, 24, 24, 24, 34, 34, 36, 36, 36, 26, 26, 26]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
422,Blitz World Championship,2744,Juigner Arthur,1550,Seeley Ben,27,29,f5f6e6f4e3c5c4d3f3e2g4g5f2d2c3g1h5e7c1d1f1d6h1e1c2g6b6b5a6b4b3a3a5a2c6b2c7a4e8c8d7d8b8f7f8g7a1b1h8g8h7h4g3h3g2h2a8a7b7h6,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  2  0  2  1  1
  1  1  0  1  0  1  0  0  0  0 10  0  0  0  0  0  0  0  2  0  8  0  0  0
  0  0  0  0  0  0  0  0  0  0  0]","[0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 3 0 4 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 3, 1, 0, -1, -2, -3, -3, -4, -4, -5, -3, 0, 0, 4, -6, -6, -6, -6, -6, -6, -6, -6, -8, -8, -16, -16, -16, -16, -16, -16, -16, -16, -16, -12, -12, -12, -12, -10, -10]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]"
